phone,password
09660000222,password123
09660000223,password123
09660000224,password123
09660000225,password123
09660000226,password123
09660000227,password123
09660000228,password123
09660000229,password123
09660000230,password123
09660000231,password123
09660000232,password123
09660000233,password123
09660000234,password123
09660000235,password123
09660000236,password123
09660000237,password123
09660000238,password123
09660000239,password123
09660000240,password123
09660000241,password123
09660000242,password123
09660000243,password123
09660000244,password123
09660000245,password123
09660000246,password123
09660000247,password123
09660000248,password123
09660000249,password123
09660000250,password123
09660000251,password123
09660000252,password123
09660000253,password123
09660000254,password123
09660000255,password123
09660000256,password123
09660000257,password123
09660000258,password123
09660000259,password123
09660000260,password123
09660000261,password123
09660000262,password123
09660000263,password123
09660000264,password123
09660000265,password123
09660000266,password123
09660000267,password123
09660000268,password123
09660000269,password123
09660000270,password123
09660000271,password123
09660000272,password123
09660000273,password123
09660000274,password123
09660000275,password123
09660000276,password123
09660000277,password123
09660000278,password123
09660000279,password123
09660000280,password123
09660000281,password123
09660000282,password123
09660000283,password123
09660000284,password123
09660000285,password123
09660000286,password123
09660000287,password123
09660000288,password123
09660000289,password123
09660000290,password123
09660000291,password123
09660000292,password123
09660000293,password123
09660000294,password123
09660000295,password123
09660000296,password123
09660000297,password123
09660000298,password123
09660000299,password123
09660000300,password123
09660000301,password123
09660000302,password123
09660000303,password123
09660000304,password123
09660000305,password123
09660000306,password123
09660000307,password123
09660000308,password123
09660000309,password123
09660000310,password123
09660000311,password123
09660000312,password123
09660000313,password123
09660000314,password123
09660000315,password123
09660000316,password123
09660000317,password123
09660000318,password123
09660000319,password123
09660000320,password123
09660000321,password123
09660000322,password123
09660000323,password123
09660000324,password123
09660000325,password123
09660000326,password123
09660000327,password123
09660000328,password123
09660000329,password123
09660000330,password123
09660000331,password123
09660000332,password123
09660000333,password123
09660000334,password123
09660000335,password123
09660000336,password123
09660000337,password123
09660000338,password123
09660000339,password123
09660000340,password123
09660000341,password123
09660000342,password123
09660000343,password123
09660000344,password123
09660000345,password123
09660000346,password123
09660000347,password123
09660000348,password123
09660000349,password123
09660000350,password123
09660000351,password123
09660000352,password123
09660000353,password123
09660000354,password123
09660000355,password123
09660000356,password123
09660000357,password123
09660000358,password123
09660000359,password123
09660000360,password123
09660000361,password123
09660000362,password123
09660000363,password123
09660000364,password123
09660000365,password123
09660000366,password123
09660000367,password123
09660000368,password123
09660000369,password123
09660000370,password123
09660000371,password123
09660000372,password123
09660000373,password123
09660000374,password123
09660000375,password123
09660000376,password123
09660000377,password123
09660000378,password123
09660000379,password123
09660000380,password123
09660000381,password123
09660000382,password123
09660000383,password123
09660000384,password123
09660000385,password123
09660000386,password123
09660000387,password123
09660000388,password123
09660000389,password123
09660000390,password123
09660000391,password123
09660000392,password123
09660000393,password123
09660000394,password123
09660000395,password123
09660000396,password123
09660000397,password123
09660000398,password123
09660000399,password123
09660000400,password123
